rate_id,rate_date,rate_title,rate_value,traveller_type,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_beverage,ground_service,value_for_money,recommended
E Lanewoski,25th June 2023,"""no boarding drinks provided""",2,Solo Leisure,Business Class,Heathrow to Bodrum,June 2023,1,1,1,1,1,no
Joel Burman,24th June 2023,"""WiFi didn't work""",4,Solo Leisure,Economy Class,Amman to London,June 2023,1,3,1,2,2,no
R Vines,24th June 2023,"""stick with economy""",7,Family Leisure,Business Class,London City to Ibiza,June 2023,3,5,3,3,3,yes
M King,23rd June 2023,"""Communication is terrible""",1,Couple Leisure,Economy Class,London to Washington,June 2023,1,1,1,1,1,no
C Dean,22nd June 2023,"""delays and cancellations""",1,Business,Business Class,Amsterdam to London,June 2023,3,3,3,2,2,no
Richard Hodges,20th June 2023,"""Economy class seating was truly dreadful""",7,Couple Leisure,Economy Class,London Heathrow to Kalamata,June 2023,1,4,3,3,3,yes
Carol Willmore,20th June 2023,"""flight failed at every level""",1,Couple Leisure,Economy Class,London to Funchal,June 2023,4,4,1,1,1,no
Nadine Kohler,19th June 2023,"""BA refuses to make it right""",1,Family Leisure,Economy Class,Marseille to Seattle via London Heathrow,June 2023,2,3,3,1,1,no
A. Adel,19th June 2023,"""shame for such well known airline""",2,Solo Leisure,Business Class,Cairo to London,June 2023,1,3,2,1,1,no
Cosmin Stefanescu,16th June 2023,"""Total garbage""",1,Solo Leisure,Economy Class,Bucharest to Dallas via London,June 2023,2,4,3,1,1,no
Emmeline Reichert,13th June 2023,"""arrived at the airport only 1 hour before""",3,Family Leisure,Economy Class,Gatwick to Venice,June 2023,3,5,4,1,3,no
Jamie Gooding,12th June 2023,"""so callous and uncaring""",1,Solo Leisure,Economy Class,Dublin to London City,June 2023,1,1,0,1,1,no
Michael Hayward,11th June 2023,"""uncomfy old planes""",1,Business,Business Class,Tokyo to Manchester via Heathrow,June 2023,1,1,1,1,1,no
George W Edmonds,11th June 2023,"""never fly British Airway ever again""",1,Solo Leisure,Economy Class,San Francisco to London,June 2023,0,0,0,1,1,no
A Garlen,10th June 2023,"""Most uncomfortable flight""",3,Family Leisure,Economy Class,Santiago to London,May 2023,1,2,2,4,1,no
K Pickering,8th June 2023,"""I will never fly British Airways again""",1,Couple Leisure,Economy Class,Seattle to Nice via London,June 2023,4,4,5,1,2,no
M Johnson,7th June 2023,"""All in all very disappointing""",4,Couple Leisure,Premium Economy,Sydney via Singapore to London Heathrow,March 2023,4,4,1,5,1,no
Benjamin Stevens,6th June 2023,"""customer service was horrendous""",1,Business,Economy Class,Seattle to Edinburgh via Heathrow,May 2023,2,4,4,2,2,no
V Samaras,6th June 2023,"""All flights without exception were delayed""",2,Solo Leisure,Economy Class,Athens to Durban via London Heathrow,April 2023,4,5,3,5,4,no
Christopher Neep,6th June 2023,"""An excellent flight""",9,Solo Leisure,Business Class,Vancouver to London Heathrow,May 2023,5,5,4,4,4,yes
Ali Balandy,5th June 2023,"""luggage was still in London""",3,Family Leisure,Economy Class,Vancouver to Barcelona via London,May 2023,3,2,2,1,1,no
A Robinson,3rd June 2023,"""worst experience in all my years of travel""",1,Family Leisure,Economy Class,Boston to Cairo via London,June 2023,1,1,1,1,1,no
K Parker,3rd June 2023,"""The worst experience""",1,Couple Leisure,Economy Class,London to Santorini,May 2023,1,1,1,1,1,no
Tanya Tracy,2nd June 2023,"""haven’t received any reimbursement""",2,Family Leisure,Economy Class,Heathrow to Mumbai,February 2023,3,1,1,1,1,no
Christos Hadjipanayi,1st June 2023,"""the crew has helped me""",10,Solo Leisure,Economy Class,London to Larnaca,March 2023,5,5,0,5,5,yes
N Stane,30th May 2023,"""check-in process was terrible""",1,Family Leisure,Economy Class,Nice to London Heathrow,May 2023,1,1,0,1,1,no
Alex Martinez,29th May 2023,"""the worst airline experience I've ever had to deal with""",1,Solo Leisure,Economy Class,Las Vegas to Venice,May 2023,1,1,1,1,1,no
E Smyth,29th May 2023,"""Service was good""",9,Family Leisure,Premium Economy,London to New York,May 2023,4,4,3,4,4,yes
S Anderson,27th May 2023,"""Last time I will fly British Airways""",2,Couple Leisure,Economy Class,Lisbon to London,May 2023,1,3,0,1,2,no
B Sherry,23rd May 2023,"""cancel your flight without notice""",1,Couple Leisure,Premium Economy,Dallas to Madrid via London,May 2023,1,1,1,1,1,no
William Jackson,23rd May 2023,"""flights changed with no cost""",10,Couple Leisure,Economy Class,London to Valencia,March 2023,4,4,0,5,4,yes
A Warten,23rd May 2023,"""Cheap, quick and efficient""",10,Solo Leisure,Economy Class,London to Glasgow,May 2023,5,5,5,5,5,yes
E Michaels,22nd May 2023,"""the worst major European airline""",2,Business,Business Class,London Heathrow to Malaga,May 2023,2,2,3,1,1,no
Steve Bennett,22nd May 2023,"""do not think the fare was worth the money""",4,Couple Leisure,Business Class,London to Nice,May 2023,2,3,3,4,1,no
N Mayle,19th May 2023,"""BA is on the skids downhill""",2,Solo Leisure,Business Class,London to San Francisco,September 2022,3,1,1,2,2,no
E Heale,17th May 2023,"""Absolutely terrible experience""",1,Solo Leisure,Economy Class,London to Dallas,April 2023,1,1,3,1,1,no
H Mike,17th May 2023,"""poor service and unhappy customers""",1,Business,Economy Class,London to Madrid,May 2023,4,3,1,1,1,no
Richard Cruise,17th May 2023,"""just won't use them again""",1,Solo Leisure,Economy Class,London to Belfast,May 2023,1,3,3,1,1,no
Kathi Blanning,14th May 2023,"""Another bad show""",3,Couple Leisure,Business Class,Los Angeles to London,May 2023,5,5,4,1,1,no
Harry Okin,14th May 2023,"""what an earth is going on at BA""",3,Couple Leisure,Business Class,Atlanta to London,April 2023,4,3,1,1,1,no
Nicholas Felty,13th May 2023,"""I had to reschedule my flight""",1,Couple Leisure,Business Class,0,May 2023,0,0,0,0,1,no
C Peale,8th May 2023,"""most appalling airline service""",1,Solo Leisure,Business Class,Sydney to London via Singapore,May 2023,1,1,1,1,1,no
Jason Wickert,6th May 2023,"""Customer service is shocking""",1,Solo Leisure,Business Class,Heathrow to Faro,May 2023,1,1,1,1,1,no
S Dasirou,6th May 2023,"""Avoid this airline""",1,Business,Economy Class,London to Barcelona,May 2023,0,0,0,1,1,no
Alexander George,1st May 2023,"""a lot of actual lies being told""",2,Business,Economy Class,New York to London,April 2023,4,3,3,1,1,no
G Jones,28th April 2023,"""premium price for very average service""",5,Couple Leisure,Business Class,Singapore to London,April 2023,4,2,1,3,1,no
Michelle Morgan,26th April 2023,"""lack of customer service""",1,Couple Leisure,Economy Class,Sweden to Los Angeles via London,January 2023,3,3,3,3,1,no
Srinivasan Balaji,24th April 2023,"""Overall not a good airline""",2,Couple Leisure,Premium Economy,Seattle to Zagreb via London,April 2023,3,2,1,3,2,no
P Patel,24th April 2023,"""delayed and missed connecting flight""",1,Family Leisure,Premium Economy,"Bangalore to Toronto via London,",April 2023,2,1,2,1,1,no
C Mayre,23rd April 2023,"""!not a good experience""",1,Family Leisure,Economy Class,London to Denver,February 2023,2,1,1,1,2,no
Kai Kohlberger,22nd April 2023,""" A very pleasant experience""",10,Solo Leisure,Premium Economy,London to Hong Kong,April 2023,4,5,4,4,4,yes
Guadalupe Carlos-Alarcon,18th April 2023,"""It was a nightmare""",2,Couple Leisure,Economy Class,Brussels to Los Angeles via London Heathrow,April 2023,1,4,1,1,1,no
Patrick Sparks,18th April 2023,"""Abysmal service""",5,Couple Leisure,Economy Class,Copenhagen to London,April 2023,1,4,2,2,2,no
T Cayle,17th April 2023,"""trained to give you the runaround""",1,Family Leisure,Economy Class,London to Denver,March 2023,2,5,2,4,1,no
Andrew Pybus,17th April 2023,"""they only had one choice of meal""",3,Solo Leisure,Economy Class,Hong Kong to London,April 2023,2,1,1,2,2,no
M Edwards,16th April 2023,"""relentless BA cost cutting""",4,Business,Business Class,Heathrow to Malaga,April 2023,3,3,4,3,2,no
Luis Rojas,15th April 2023,"""I wouldn't recommend British Airways""",3,Family Leisure,Economy Class,Santorini to Gatwick,March 2023,4,4,0,3,1,no
C Maire,15th April 2023,"""Absolutely horrible experience""",1,Solo Leisure,Economy Class,Madrid to Belfast via London,January 2023,3,3,2,1,1,no
Megan Campbell,14th April 2023,"""This is the worst airline""",1,Business,Economy Class,Dublin to London,April 2023,1,1,1,1,1,no
L Horten,13th April 2023,"""never fly British Airways again""",2,Couple Leisure,Business Class,London to Venice,March 2023,1,2,2,2,2,no
L Keane,12th April 2023,"""seats were cramped and uncomfortable""",1,Couple Leisure,Economy Class,Las Vegas to London,April 2023,1,1,1,4,1,no
Brett Hardy,11th April 2023,"""I enjoyed my flight""",9,Solo Leisure,Business Class,Faro to Heathrow,April 2023,5,5,5,3,5,yes
P Jones,10th April 2023,"""found the food menu rather odd""",5,Couple Leisure,Business Class,London to Atlanta,April 2023,4,3,2,2,3,no
Colean Wright,9th April 2023,"""cover 50% of my new luggage""",1,Couple Leisure,Economy Class,London to Copenhagen,April 2023,1,4,1,1,1,no
Andrew Fitch,9th April 2023,"""the worst flight of my life""",2,Couple Leisure,Economy Class,London to Malta,April 2023,3,1,2,1,1,no
Andy Magowan,9th April 2023,"""flight was pleasant enough""",7,Couple Leisure,Economy Class,Belfast to London,April 2023,4,4,3,4,4,yes
Andrew Pybus,6th April 2023,"""downright rude and abusive""",4,Business,Premium Economy,London to Hong Kong,April 2023,2,2,3,4,3,no
K Bhaduri,6th April 2023,"""disappointing staff""",1,Family Leisure,Economy Class,Mumbai to Chicago via London,April 2023,4,1,5,1,1,no
N Melville,5th April 2023,"""crew could not give a damn""",3,Business,Business Class,London to New York,April 2023,3,2,2,3,2,no
C Down,31st March 2023,"""a very solid experience""",9,Solo Leisure,Economy Class,Mumbai to London,March 2023,4,5,3,4,5,yes
Pieter Boone,30th March 2023,"""Service was impeccable""",10,Couple Leisure,Business Class,Mexico City to Amsterdam via London,March 2023,4,5,5,4,5,yes
S Dartano,29th March 2023,"""Very poor service, very frustrating""",1,Business,Economy Class,Barcelona to London,March 2023,3,3,3,3,1,no
David Newman,27th March 2023,"""Generally poor""",3,Couple Leisure,Economy Class,London to Lanzarote,March 2023,3,2,0,2,3,no
Derek McLeod,26th March 2023,"""changed our prepaid seats""",1,Couple Leisure,Economy Class,Marrakech to London Heathrow,March 2023,1,1,1,1,1,no
Derek McLeod,26th March 2023,"""airline is going downhill rapidly""",1,Couple Leisure,Economy Class,London Heathrow to Marrakech,March 2023,1,3,1,1,1,no
Mohammed Laidi,21st March 2023,"""made a complaint, nothing happened""",1,Family Leisure,Economy Class,London to Algiers,May 2022,1,1,0,1,2,no
S Walder,21st March 2023,"""Every flight was delayed""",1,Couple Leisure,Economy Class,Miami to Munich via London,March 2023,3,1,3,1,1,yes
L Garson,20th March 2023,"""how far the quality level has slid""",3,Business,Economy Class,New York to London,March 2023,1,1,1,2,2,no
J Billot,20th March 2023,"""worst cabin experience ever""",2,Couple Leisure,Economy Class,Cairo to London,March 2023,1,4,1,4,2,no
l Higgs,18th March 2023,"""Very impressive and efficient""",8,Solo Leisure,Premium Economy,Mumbai to Nassau via London,March 2023,4,4,2,3,3,yes
D Vale,18th March 2023,"""We are done with BA""",3,Couple Leisure,First Class,Johannesburg to London,March 2023,4,5,4,1,2,no
Glen Patrizio,17th March 2023,"""I was left stranded at the airport""",1,Solo Leisure,Economy Class,Munich to London Heathrow,March 2023,3,3,0,1,1,no
C Lane,17th March 2023,"""I will never fly with them again""",1,Couple Leisure,Economy Class,Amsterdam to London,March 2023,1,0,0,1,1,no
G May,16th March 2023,"""A catalogue of failures""",1,Couple Leisure,Economy Class,Heathrow to Belfast City,March 2023,3,3,3,1,1,no
A Ahmed,15th March 2023,"""it's by no measure good""",7,Couple Leisure,Economy Class,Gatwick to Dubrovnik,March 2023,1,3,2,5,5,yes
S Paice,15th March 2023,"""Avoid unless you have no other option""",1,Business,Economy Class,London Heathrow to Amsterdam,March 2023,2,1,1,1,1,no
W Allen,15th March 2023,"""pathetically inefficient""",2,Solo Leisure,Economy Class,Zagreb to London Heathrow,March 2023,3,2,1,1,2,no
Kevin Coker,14th March 2023,"""fallen far behind their competitors""",2,Couple Leisure,Premium Economy,New York JFK to Heathrow,March 2023,1,2,2,3,1,no
Martin McCormack,13th March 2023,"""one of the worst experiences""",1,Solo Leisure,Economy Class,Dublin to Orlando via Heathrow,December 2022,1,1,1,1,1,no
R Worton,12th March 2023,"""a horror show of incompetence""",1,Family Leisure,Economy Class,London Heathrow to Munich,March 2023,1,1,1,1,1,no
N Gale,12th March 2023,"""My baggage never arrived""",2,Business,Business Class,London to Dubai,December 2022,4,4,4,1,1,no
S Marber,10th March 2023,"""Total disruption, wasted time""",1,Solo Leisure,Economy Class,Geneva to London,March 2023,2,3,3,1,2,no
Monica Cullen,10th March 2023,"""what an absolute nightmare""",1,Family Leisure,Economy Class,Prague to London,December 2022,1,0,0,1,1,no
Robert Davis,10th March 2023,"""I detest British Airways""",1,Business,Economy Class,Heathrow to Glasgow,March 2023,1,1,1,1,1,no
J Robinson,9th March 2023,"""Clean aircraft, good crew, professional""",8,Business,Economy Class,London Heathrow to Arlanda Stockholm,March 2023,5,5,2,5,5,yes
Larry Schwartz,8th March 2023,"""this airline is horrible""",1,Couple Leisure,Business Class,Portland to Tel Aviv via Heathrow,March 2023,0,0,0,0,1,no
Helen Thomson,6th March 2023,"""avoid flying British Airways""",1,Solo Leisure,Business Class,Heathrow to Milan Malpensa,April 2022,0,0,0,1,1,no
Farid Filsoof,4th March 2023,"""had better treatment from Ryanair""",2,Solo Leisure,Economy Class,London to Los Angeles,March 2023,1,2,1,3,1,no
M Kaminsky,2nd March 2023,"""Would happily fly them again""",10,Solo Leisure,Economy Class,New York to Istanbul via London,March 2023,5,5,5,5,5,yes
L Howard,2nd March 2023,"""one drink service on 10 hour flight""",4,Couple Leisure,Premium Economy,London Heathrow to Las Vegas,March 2023,3,2,1,2,3,no
Pam Schell,28th February 2023,"""squashed into regular seats""",1,Business,Business Class,London to Cairo,January 2023,1,2,1,3,1,no
Janeks Volkovs,27th February 2023,"""nice and professional crew""",8,Solo Leisure,Economy Class,London Singapore,February 2023,3,5,5,5,4,yes
M Camere,27th February 2023,"""acceptable experience, nothing more""",6,Business,Business Class,London to Dubai,February 2023,2,3,2,4,3,yes
M Camere,27th February 2023,"""FA's were very friendly""",7,Business,Business Class,Brussels to London,February 2023,2,4,4,4,4,yes
Gustavo Sirna Barbosa,26th February 2023,"""original flight was cancelled""",1,Family Leisure,Economy Class,Lyon to London,February 2023,1,4,1,1,1,no
Gustavo Sirna Barbosa,26th February 2023,"""no better than a low cost airline""",1,Family Leisure,Economy Class,London to Lyon,February 2023,1,4,1,1,1,no
R Mawani,23rd February 2023,"""they could not serve hot drinks""",4,Couple Leisure,Economy Class,Faro to Gatwick,February 2023,2,2,1,5,2,no
Chris Parker,18th February 2023,"""got virtually free tickets""",5,Family Leisure,Economy Class,Oslo to London,February 2023,3,3,1,2,3,no
C Barton,18th February 2023,"""found the attitude appalling""",1,Solo Leisure,Economy Class,London to Madrid,February 2023,2,1,1,1,2,no
Abs Ahmed,16th February 2023,"""crew were really nice""",8,Couple Leisure,Economy Class,Islamabad to London,February 2023,4,5,2,4,5,yes
Arsham Parsi,15th February 2023,"""Lots of cancellations and delays""",1,Couple Leisure,Economy Class,Edinburgh to London,February 2023,3,2,0,1,1,no
Keat Tan,7th February 2023,"""Overall, very happy with BA""",9,Couple Leisure,Business Class,Mexico City to London,February 2023,5,5,4,5,5,yes
Adam Churchill,6th February 2023,"""the best airline I've flown with""",10,Solo Leisure,Economy Class,Palma to Gatwick,January 2023,5,5,5,5,5,yes
Maria del Carmen Riesco Martin,4th February 2023,"""so determined to help""",10,Family Leisure,Economy Class,London to Madrid,February 2023,5,5,5,5,5,yes
S Anderson,31st January 2023,"""crew are a credit to BA""",10,Business,Economy Class,London Heathrow to Glasgow,January 2023,5,5,4,5,5,yes
M Wilson,31st January 2023,"""catalogue of errors and inconveniences""",2,Couple Leisure,Premium Economy,London to Buenos Aires,January 2023,3,1,1,4,1,no
Christopher Neep,28th January 2023,"""the food was poor""",4,Solo Leisure,Premium Economy,London to Vancouver,January 2023,4,4,1,4,1,no
Kathleen Lucey,28th January 2023,"""No more BA for me""",3,Solo Leisure,Economy Class,Faro to London,January 2023,1,2,0,4,3,no
Ian Sinclair,24th January 2023,"""Excellent service""",9,Solo Leisure,First Class,Heathrow to Johannesburg,January 2023,4,5,4,5,4,yes
E Smyth,24th January 2023,"""Sound dinner service""",9,Couple Leisure,Business Class,Cape Town to London,January 2023,4,5,5,4,4,yes
Horton,23rd January 2023,"""A really excellent journey""",9,Couple Leisure,Business Class,London to Male,January 2023,5,5,5,5,4,yes
Marian Benedikovic,21st January 2023,"""flight was one of the worst""",2,Solo Leisure,Business Class,London to Vienna,December 2022,3,2,1,1,1,no
Thomas Kowalski,19th January 2023,"""there is a race to the bottom""",3,Couple Leisure,Economy Class,Johannesburg to Los Angeles via London,January 2023,2,2,2,1,2,no
Reyes Diaz,19th January 2023,"""need to cancel the ticket and rebook""",2,Solo Leisure,Economy Class,London Gatwick to Alicante,January 2023,0,0,0,0,1,no
S Zarhas,18th January 2023,"""very friendly cabin crew""",9,Family Leisure,Economy Class,London to Tel Aviv,December 2022,4,5,4,4,5,yes
E Smyth,17th January 2023,"""a good drinks and food service""",9,Couple Leisure,Business Class,London Heathrow to Cape Town,January 2023,3,5,5,4,4,yes
Jozef Kis,17th January 2023,"""you should let me use the lounge""",1,Solo Leisure,Economy Class,Gatwick to Dublin,January 2023,3,5,0,1,1,no
Sam Hassan,16th January 2023,"""I find BA incredibly tacky""",3,Solo Leisure,Premium Economy,London Heathrow to Athens Greece,April 2022,3,4,1,3,1,no
C Bain,9th January 2023,"""This flight was so disappointing""",4,Family Leisure,Economy Class,Atlanta to London,January 2023,1,1,1,1,2,no
C Bain,8th January 2023,"""just an average airline""",5,Family Leisure,Economy Class,London to Chicago,December 2022,3,2,3,3,2,no
Hans Book,6th January 2023,"""Luggage is delayed""",1,Family Leisure,Economy Class,Istanbul to Vancouver via Heathrow,January 2023,1,5,1,1,1,no
G Jackson,2nd January 2023,"""the worst business class experience I've ever had""",1,Family Leisure,Business Class,Vienna to Los Angeles via London Heathrow,January 2023,1,2,1,1,1,no
J Tucker,2nd January 2023,"""not recommended for business class""",2,Business,Business Class,London to San francisco,January 2023,2,5,2,2,1,no
R Heale,2nd January 2023,"""surprisingly a good product""",8,Business,Economy Class,London to Belfast,January 2023,4,5,3,5,4,yes
J Robins,1st January 2023,"""Maybe the old charm will return soon""",6,Business,Economy Class,Doha to London,December 2022,5,3,1,5,4,no
Stephen Segar,30th December 2022,"""having to pay to reserve a specific seat""",4,Couple Leisure,Business Class,London to Barbados,December 2022,3,4,4,4,3,no
J Meares,29th December 2022,"""Upgrade was worth it""",4,Solo Leisure,Premium Economy,London Gatwick to Cape Town,December 2022,3,4,4,2,3,no
J Meares,29th December 2022,"""Disappointing meal""",3,Solo Leisure,Business Class,Cape Town to London,December 2022,4,3,2,1,2,no
S Marton,29th December 2022,"""minimal communication from their team""",1,Solo Leisure,Economy Class,London Heathrow to Frankfurt,December 2022,3,3,0,1,1,no
D Bartul,28th December 2022,"""felt misguided and misinformed""",1,Family Leisure,Economy Class,Vancouver to Delhi via London,December 2022,0,0,0,0,1,no
Michel Perrin,24th December 2022,"""Flight perfectly on time""",8,Couple Leisure,Economy Class,Marseille to London,December 2022,3,3,2,4,5,yes
Amanda Edgar,22nd December 2022,"""treat your customers like idiots""",3,Couple Leisure,First Class,London to Male,December 2022,2,2,1,3,1,no
Andrew Wilkes,20th December 2022,"""cancelled only 4 hours before take off""",1,Solo Leisure,Economy Class,Keflavik to London Heathrow,December 2022,2,3,0,1,1,no
Nick Walker,19th December 2022,"""have to use other airlines now""",1,Business,Business Class,London Heathrow to Frankfurt,October 2022,3,4,3,1,1,no
E King,19th December 2022,"""my suitcase didn’t arrive with me""",2,Solo Leisure,Economy Class,London Heathrow to Bangkok via Doha,December 2022,2,2,2,1,1,no
Richard Cowling,19th December 2022,"""Cabin crew - Treated passengers as an inconvenience""",2,Couple Leisure,Premium Economy,London Gatwick to Cancun,November 2022,4,1,1,1,1,no
R Marton,17th December 2022,"""luggage was finally delivered on Thursday""",5,Solo Leisure,Premium Economy,London to Phoenix,December 2022,3,5,4,1,4,no
S Ward,14th December 2022,"""improvements needed with their ground staff2",6,Business,Business Class,London to Rome,December 2022,4,4,5,1,4,yes
Jeremy Archdale,12th December 2022,"""appallingly uncomfortable flights""",1,Couple Leisure,Business Class,Barbados to London Heathrow,December 2022,1,1,1,1,1,no
Andrew Mortimer,12th December 2022,"""Cabin crew very good""",8,Solo Leisure,Economy Class,Doha to  Gatwick,November 2022,2,5,4,3,5,yes
C King,10th December 2022,"""late and delayed""",3,Business,Business Class,Glasgow to London,December 2022,5,5,3,5,3,no
R Vines,10th December 2022,"""learned my lesson about late BA upgrades""",6,Couple Leisure,Premium Economy,London to Boston,December 2022,3,4,3,3,3,yes
A Lavochil,9th December 2022,"""No curtain between business and economy class""",3,Solo Leisure,Business Class,London to Prague,November 2022,2,1,1,2,1,no
A Gateolis,9th December 2022,"""electronics are very poor""",4,Business,Business Class,London to Larnaca,December 2022,1,0,0,2,3,no
B Galanez,8th December 2022,"""couldn't even order any food / drink""",3,Family Leisure,Economy Class,Cairo to London,December 2022,3,2,1,3,2,no
T Darsen,3rd December 2022,"""My bag never showed up""",1,Business,Economy Class,Denver to London,December 2022,1,1,1,1,1,no
Ian Sinclair,30th November 2022,"""eventually make good on their promise""",9,Solo Leisure,Business Class,London to Marrakech,June 2022,3,5,5,4,3,yes
S SI,28th November 2022,"""Extremely sub-par service""",2,Solo Leisure,Economy Class,San Francisco to London,November 2022,2,1,2,3,2,no
R Vines,26th November 2022,"""the service was excellent""",7,Solo Leisure,Business Class,London to Lisbon,November 2022,3,4,4,3,3,yes
Connor Heward,25th November 2022,"""I thoroughly enjoyed my flight""",7,Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,January 2022,4,4,4,4,4,yes
M Beale,23rd November 2022,"""wouldn't let me check-in until 24 hours before""",1,Solo Leisure,Economy Class,Miami to Budapest via London,November 2022,2,3,3,1,1,no
H Davidson,19th November 2022,"""Will honestly never fly them again if I can help it""",4,Solo Leisure,Premium Economy,Amman Jordan to London UK (Heathrow),November 2022,3,2,1,4,2,no
Raneem Awad,19th November 2022,"""Very unprofessional for a renowned airline like BA""",1,Solo Leisure,Economy Class,Dusseldorf to London via Los Angeles,August 2022,1,1,1,1,1,no
J Meares,18th November 2022,"""lounge was overcrowded and worn out""",2,Solo Leisure,Business Class,London to Cape Town,November 2022,4,2,1,1,1,no
Flavia Malusardi,7th November 2022,"""very uncomfortable trip""",1,Solo Leisure,Economy Class,Milan to Dallas via London,November 2022,2,5,2,2,1,no
R Gonzaga,7th November 2022,"""rate this just as a mediocre journey""",5,Solo Leisure,Economy Class,Baltimore to London Heathrow,November 2022,1,3,3,2,3,yes
Iviano Ossuetta,5th November 2022,"""baggage yet to be delivered after 5 weeks""",1,Couple Leisure,Business Class,Dubai to Belfast via London,October 2022,3,3,3,1,1,no
Georgeta Costache,31st October 2022,"""misplaced our luggage during our wedding trip""",1,Couple Leisure,Economy Class,Dallas to Bologna via London,July 2022,5,5,0,1,1,no
R Zhang,31st October 2022,"""zero faith in British Airways""",1,Solo Leisure,Economy Class,San Francisco to London,October 2022,0,0,0,1,1,no
C Barton,31st October 2022,"""under whelmed by the experience""",6,Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2022,2,1,1,3,3,no
Amanda Edgar,30th October 2022,"""about as abysmal as you can get""",1,Solo Leisure,Business Class,London Heathrow to Nairobi,October 2022,3,1,1,1,1,no
Peter Pomeranze,30th October 2022,"""has returned to full service""",9,Solo Leisure,Business Class,London to Los Angeles,October 2022,5,4,5,3,5,yes
Peter Pomeranze,30th October 2022,"""this flight was quite good""",9,Solo Leisure,Business Class,Copenhagen to Heathrow,October 2022,3,5,5,4,5,yes
P Marten,25th October 2022,"""no attempt to provide fresh or hot foo""",3,Family Leisure,Economy Class,Larnaca to London,October 2022,1,2,1,2,2,no
R Hardell,24th October 2022,"""A very positive experience""",9,Couple Leisure,Business Class,Atlanta to London,October 2022,5,4,4,5,4,yes
M Nettles,23rd October 2022,"""Baggage took 3/4 hour to be delivered""",2,Solo Leisure,Business Class,Madrid to San Francisco via London,September 2022,3,1,1,3,1,no
R Gonzaga,22nd October 2022,"""cabin crew were very pleasant and helpful""",8,Solo Leisure,Economy Class,London to Washington,October 2022,3,5,5,2,5,yes
Ben Mallinson,22nd October 2022,"""Very rude and unhelpful staff""",1,Couple Leisure,Economy Class,London to San Francisco,October 2022,1,1,3,1,1,no
Sumit Rajwar,21st October 2022,"""cabin crew were very helping""",3,Solo Leisure,Economy Class,London to Delhi,October 2022,2,2,1,4,1,no
L Pulliam,17th October 2022,"""All in all BA was just fine""",7,Couple Leisure,Economy Class,London to Los Angeles,October 2022,3,4,3,4,4,yes
Richard Hodges,17th October 2022,"""recommend BA's new Club Class""",8,Couple Leisure,Business Class,Miami to London Heathrow,October 2022,5,5,3,4,3,yes
E Smyth,17th October 2022,"""Would recommend""",9,Solo Leisure,Business Class,Dubai to London,October 2022,4,4,4,4,3,yes
Steven Solomon,16th October 2022,"""hit the  call button, no response for an hour""",1,Couple Leisure,Economy Class,London to Cairo,October 2022,1,1,1,4,1,no
Adam Kirk,15th October 2022,"""She was attentive, warm, friendly""",10,Solo Leisure,Business Class,Orlando to London Gatwick,October 2022,5,5,5,5,4,yes
S Keane,14th October 2022,"""cramped single aisle aircraft""",3,Business,Economy Class,London to Cairo,October 2022,2,4,1,3,1,no
L Pulliam,6th October 2022,"""it was an OK experience""",6,Couple Leisure,Economy Class,Dallas to London,September 2022,2,4,2,4,3,yes
